st_name,year,pc_no,pc_name,pc_type,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,A Pandian,M,AIFB,AIFB,225,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,N Kannan,M,IND,IND,314,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,C G Saji Kumar,M,IND,IND,334,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,Raghubir Singh,M,SP,SP,379,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,V V Khalid,M,IND,IND,429,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,N K P Nair,M,CPI(ML)(L),CPI(ML)(L),436,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,Saravanan,M,IND,IND,847,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,Gour Chandra Majumder,M,BSP,BSP,1139,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,R.S.Uma Bharatthy,F,NCP,NCP,1151,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,None Of The Above,,NOTA,NOTA,1564,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,Prakash Minj,M,IND,IND,1587,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,K.G.Das,M,CPM,CPM,1777,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,Anita Mondal,F,AITC,AITC,2283,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,Sanjay Meshack,M,AAAP,AAAP,3737,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,Kuldeep Rai Sharma,M,INC,INC,83157,269360
Andaman & Nicobar Islands,2014,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,M,BJP,BJP,90969,269360
Andhra Pradesh,2014,1,Adilabad ,ST,Banka Sahadev,M,IND,IND,4787,1386282
Andhra Pradesh,2014,1,Adilabad ,ST,Pawar Krishna,M,IND,IND,5055,1386282
Andhra Pradesh,2014,1,Adilabad ,ST,Mosali Chinnaiah,M,IND,IND,8859,1386282
Andhra Pradesh,2014,1,Adilabad ,ST,None Of The Above,,NOTA,NOTA,17084,1386282
Andhra Pradesh,2014,1,Adilabad ,ST,Nethawath Ramdas,M,IND,IND,41032,1386282
